report_table_number_state,table_2_urban_utility_scale_pv_gwh,table_2_urban_utility_scale_pv_gw,table_2_urban_utility_scale_pv_km2,table_3_rural_utility_scale_pv_gwh,table_3_rural_utility_scale_pv_gw,table_3_rural_utility_scale_pv_km2,table_4_rooftop_pv_gwh,table_4_rooftop_pv_gw,table_5_csp_gwh,table_5_csp_gw,table_5_csp_km2,table_6_onshore_wind_gwh,table_6_onshore_wind_gw,table_6_onshore_wind_km2,table_7_offshore_wind_gwh,table_7_offshore_wind_gw,table_7_offshore_wind_km2,table_8_biopower_solid_gwh,table_8_biopower_solid_gw,table_8_biopower_solid_bdt,table_8_biopower_gaseous_gwh,table_8_biopower_gaseous_gw,table_8_biopower_gaseous_tonnes_ch4,table_9_geothermal_hydrothermal_gwh,table_9_geothermal_hydrothermal_gw,table_10_egs_geothermal_gwh,table_10_egs_geothermal_gw,table_11_hydropower_gwh,table_11_hydropower_gw,table_11_hydropower_count_of_sites
Alabama,35850.62850603,20.4531767772803,426.107849526673,3706838.567498272,2114.7920597619996,44058.16791200001,15475.968615665943,12.516075995193823,0,0,0,283.02245999999997,0.1182,23.64,0,0,0,11193.455900000004,1.41976863267377,10175869,1533.0774429999997,0.1944542672501269,326186.6899999999,0,0,535489.503440261,67.92104305429883,4102.56575494956,0.9366588481619997,2435
Alaska,166,0.112,2.3488,8282976.216762241,9005.1926688,187608.18060000002,,1.2915089556488948,0,0,0,1373433.3930310374,493.34636214558367,98669.27242911668,,,,513.4766999999999,0.06512895738203954,466797,61.837571,0.007843426052765091,13156.930000000002,15437.26776,1.95814,,,23675.571930752994,5.405381719350001,3053
Arizona,121305.8774727,52.61105397908606,1096.063624564291,11867693.674052684,5147.08673272,107230.973604,22736.083217421583,14.879972873234557,12544333.927900001,3527.6237386000003,107238.90349999999,26036.376082000002,10.904100000000001,2180.82,,,,1087.5755,0.13794717148655505,988705,837.486279,0.10622606278538813,178188.56999999998,8329.529596992,1.0563999996185,1239147.7168698665,157.17246535655,1303.22202063684,0.297539274118,1958
Arkansas,28960.881335704995,15.9573157748802,332.44407864333755,4986388.553562345,2747.4777373360002,57239.119527999996,8484.950618213476,6.773148768548595,0,0,0,22892.317469999995,9.200299999999999,1840.06,,,,14381.444,1.8241303906646362,13074040,1063.0368349999999,0.13483470763571792,226178.04999999996,0,0,628621.6744749333,79.733850136337,6093.400568796121,1.3911873444739997,3268
California,246008.10793514998,111.40380723956234,2320.9126508242152,8855917.17520118,4010.3673744620014,83549.32030200002,106411.15120112032,75.90838284988948,8490916.1591,2725.675782099999,82859.88089999997,89862.199914,34.1102,6822.04,2662579.5091379997,654.8333500000001,130966.67000000003,12408.269500000002,1.5738545788939624,11280245,15510.991699999999,1.967401281075596,3300210.999999998,130921.06890597189,16.60549986124127,1344179.430166932,170.4946004776552,30023.578286820004,6.854698238999998,9692
Colorado,43470.501436591,19.167192000002228,399.3165000000467,10238083.928308975,4514.218007124001,94046.20848400005,16162.17147027889,11.796668034861135,9154524.376100004,3097.836194,94173.46679999998,1096035.8314640003,387.2194,77443.88,,,,2913.3081999999995,0.3695215880263824,2648462,1224.210175,0.1552777999746322,260470.24999999997,8953.6735969927,1.13539999961856,1251657.9609994236,158.75925431244337,7789.128914967121,1.7783399349239997,5060
Connecticut,7716.6471871,4.833023151017598,100.68798231286661,19627.745900809365,12.293078592,256.105804,6616.198687897381,5.903443373091047,0,0,0,61.91349,0.0265,5.3,26545.364052,7.1705000000000005,1434.1000000000001,494.75249999999994,0.06275399543378996,449775,414.66751099999993,0.05259608206494165,88227.13,0,0,56078.43524776667,7.112942065923,922.4578538610001,0.21060681595,659
Delaware,14856.468171,9.11954666952404,189.9905556150843,272332.6234963921,167.16961536,3482.70032,2185.4316768792487,1.8757254292185022,0,0,0,21.719981999999998,0.0095,1.9000000000000001,60654.023628,15.0384,3007.68,512.3822,0.06499013191273466,465802,385.46373200000005,0.048891899036022334,82013.56,0,0,22813.354828333333,2.8936269442330005,30.790340442959998,0.007029758092000001,25
District of Columbia,8.44,0.0053795651879882805,0.112074274749756,0,0,0,2490.190286778319,2.1002374633178955,0,0,0,0,0,0,,,,61.798,0.007838406900050736,56180,4.59566,0.0005829096905124302,977.8,0,0,697.8493764466665,0.0885146342526,0.83124670176,0.000189782352,2
Florida,72787.192615387,39.850365230115436,830.2159422940715,5137346.842199644,2812.6534438940007,58596.94674800002,63986.63886492599,49.406524560912516,358.68719999999996,0.12976089999999998,3.9447,0.953088,0.00040,0.08,34684.490292,9.64855,1929.71,9664.406399999998,1.2258252663622526,8785824,3693.2024720000004,0.4684427285641805,785787.7599999999,0,0,374161.26576532435,47.45830362322083,682.10647694556,0.15573207236200007,493
